
1	125	0.990000	0.000000	shared	1200	1	783368
1	250	0.990000	0.000000	shared	1200	1	803920
1	500	0.990000	0.000000	shared	1200	1	803314
1	1000	0.990000	0.000000	shared	1200	1	808874
2	125	0.990000	0.000000	shared	1200	1	400985
2	250	0.990000	0.000000	shared	1200	1	413719
2	500	0.990000	0.000000	shared	1200	1	438433
2	1000	0.990000	0.000000	shared	1200	1	540271
4	125	0.990000	0.000000	shared	1200	1	205304
4	250	0.990000	0.000000	shared	1200	1	219150
4	500	0.990000	0.000000	shared	1200	1	256063
4	1000	0.990000	0.000000	shared	1200	1	325061
6	125	0.990000	0.000000	shared	1200	1	162178
6	250	0.990000	0.000000	shared	1200	1	153731
6	500	0.990000	0.000000	shared	1200	1	177333
6	1000	0.990000	0.000000	shared	1200	1	259242
8	125	0.990000	0.000000	shared	1200	1	158931
8	250	0.990000	0.000000	shared	1200	1	147244
8	500	0.990000	0.000000	shared	1200	1	192011
8	1000	0.990000	0.000000	shared	1200	1	407094
1	125	0.990000	1.000000	shared	1200	1	628697
1	250	0.990000	1.000000	shared	1200	1	636078
1	500	0.990000	1.000000	shared	1200	1	679348
1	1000	0.990000	1.000000	shared	1200	1	693696
2	125	0.990000	1.000000	shared	1200	1	319730
2	250	0.990000	1.000000	shared	1200	1	324625
2	500	0.990000	1.000000	shared	1200	1	351124
2	1000	0.990000	1.000000	shared	1200	1	469608
4	125	0.990000	1.000000	shared	1200	1	168364
4	250	0.990000	1.000000	shared	1200	1	171929
4	500	0.990000	1.000000	shared	1200	1	230593
4	1000	0.990000	1.000000	shared	1200	1	236743
6	125	0.990000	1.000000	shared	1200	1	118422
6	250	0.990000	1.000000	shared	1200	1	123399
6	500	0.990000	1.000000	shared	1200	1	176225
6	1000	0.990000	1.000000	shared	1200	1	258570
8	125	0.990000	1.000000	shared	1200	1	161004
8	250	0.990000	1.000000	shared	1200	1	122195
8	500	0.990000	1.000000	shared	1200	1	159457
8	1000	0.990000	1.000000	shared	1200	1	340883
